timestamp,voltage_a0,voltage_a1
2025-06-16 23:58:17.268,1.8513,0.0050
2025-06-16 23:58:22.316,1.8513,0.0050
2025-06-16 23:58:27.369,1.8513,0.0051
2025-06-16 23:58:32.409,1.8512,0.0049
2025-06-16 23:58:37.453,1.8512,0.0050
2025-06-16 23:58:42.507,1.8512,0.0051
2025-06-16 23:58:47.558,1.8508,0.0050
2025-06-16 23:59:02.719,1.8511,0.0049
2025-06-16 23:59:07.771,1.8511,0.0050
2025-06-16 23:59:12.825,1.8511,0.0049
2025-06-16 23:59:17.883,1.8511,0.0049
2025-06-16 23:59:22.935,1.8511,0.0049
2025-06-16 23:59:28.000,1.8511,0.0047
2025-06-16 23:59:33.107,1.8511,0.0048
2025-06-16 23:59:38.157,1.8510,0.0047
2025-06-16 23:59:43.214,1.8511,0.0046
2025-06-16 23:59:48.265,1.8511,0.0047
2025-06-16 23:59:53.313,1.8511,0.0047
2025-06-16 23:59:58.367,1.8498,0.0047
2025-06-17 00:00:03.429,1.8511,0.0047
2025-06-17 00:00:08.486,1.8512,0.0048
2025-06-17 00:00:13.562,1.8510,0.0048
2025-06-17 00:00:18.611,1.8509,0.0048
2025-06-17 00:00:23.656,1.8509,0.0048
2025-06-17 00:00:28.712,1.8510,0.0051
2025-06-17 00:00:33.757,1.8509,0.0066
2025-06-17 00:00:38.808,1.8509,0.0071
2025-06-17 00:00:43.869,1.8509,0.0076
2025-06-17 00:00:48.926,1.8510,0.0077
2025-06-17 00:00:54.005,,,'Error: HTTPConnectionPool(host='192.168.1.192', port=80): Read timed out. (read timeout=0.1)'
2025-06-17 00:00:59.110,1.8509,0.0079
2025-06-17 00:01:04.164,1.8509,0.0078
2025-06-17 00:01:09.224,1.8508,0.0080
2025-06-17 00:01:14.273,1.8509,0.0079
2025-06-17 00:01:19.333,1.8509,0.0079
2025-06-17 00:01:24.381,1.8492,0.0081
2025-06-17 00:01:29.436,1.8508,0.0080
2025-06-17 00:01:34.485,1.8507,0.0067
2025-06-17 00:01:39.536,1.8507,0.0053
2025-06-17 00:01:44.610,1.8508,0.0045
2025-06-17 00:01:49.665,1.8507,0.0042
2025-06-17 00:01:54.716,1.8508,0.0041
2025-06-17 00:01:59.784,,,'Error: HTTPConnectionPool(host='192.168.1.192', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7fef28275550>, 'Connection to 192.168.1.192 timed out. (connect timeout=0.1)'))'
2025-06-17 00:02:04.885,,,'Error: HTTPConnectionPool(host='192.168.1.192', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7fef282765a0>, 'Connection to 192.168.1.192 timed out. (connect timeout=0.1)'))'
2025-06-17 00:02:09.986,1.8508,0.0039
2025-06-17 00:02:15.041,1.8506,0.0038
2025-06-17 00:02:20.098,1.8508,0.0039
2025-06-17 00:02:25.152,1.8506,0.0039
2025-06-17 00:02:30.213,1.8507,0.0039
2025-06-17 00:02:35.274,1.8506,0.0039
2025-06-17 00:02:40.328,1.8505,0.0039
2025-06-17 00:02:45.378,1.8506,0.0039
2025-06-17 00:02:50.444,1.8506,0.0040
2025-06-17 00:02:55.507,1.8506,0.0038
2025-06-17 00:03:00.575,1.8504,0.0039
2025-06-17 00:03:05.634,1.8505,0.0039
2025-06-17 00:03:10.702,1.8505,0.0038
2025-06-17 00:03:15.745,1.8501,0.0039
2025-06-17 00:03:20.801,1.8505,0.0039
2025-06-17 00:03:25.857,1.8506,0.0039
2025-06-17 00:03:30.913,1.8504,0.0039
